t, pose_x, pose_y, pose_theta, headingRadians, raw_gyro, poseErrorX, poseErrorY, poseErrorTheta
2.491098, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.510836, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.530611, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.54994, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.569962, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.591294, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.610814, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.630015, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.650834, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.670165, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.690492, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.711183, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.730747, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.750058, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.771189, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.790531, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.810835, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.83091, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.850368, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.870358, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.890295, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.909988, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.930595, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
